"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"290","RandUCB",254,0.4,0.6,0,0.1,0.865368657905066,0.0497738959034686,12
"291","RandUCB",254,0.4,0.6,0,0.2,0.865368657905066,0.0497738959034686,12
"292","RandUCB",254,0.4,0.6,0,0.3,0.865368657905066,0.0497738959034686,12
"293","RandUCB",254,0.4,0.6,0,0.4,0.865368657905066,0.0497738959034686,12
"294","RandUCB",254,0.4,0.6,0,0.5,0.865368657905066,0.0497738959034686,12
"295","RandUCB",254,0.4,0.6,0.1,0,0.865368657905066,0.0497738959034686,12
"296","RandUCB",254,0.4,0.6,0.1,0.1,0.865368657905066,0.0497738959034686,12
"297","RandUCB",254,0.4,0.6,0.1,0.2,0.865368657905066,0.0497738959034686,12
"298","RandUCB",254,0.4,0.6,0.1,0.3,0.865368657905066,0.0497738959034686,12
"299","RandUCB",254,0.4,0.6,0.1,0.4,0.865368657905066,0.0497738959034686,12
"300","RandUCB",254,0.4,0.6,0.1,0.5,0.865368657905066,0.0497738959034686,12
"301","RandUCB",254,0.4,0.6,0.2,0,0.865368657905066,0.0497738959034686,12
"302","RandUCB",254,0.4,0.6,0.2,0.1,0.865368657905066,0.0497738959034686,12
"303","RandUCB",254,0.4,0.6,0.2,0.2,0.865368657905066,0.0497738959034686,12
"304","RandUCB",254,0.4,0.6,0.2,0.3,0.865368657905066,0.0497738959034686,12
"305","RandUCB",254,0.4,0.6,0.2,0.4,0.865368657905066,0.0497738959034686,12
