"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"200","RPW",526,0.1,0.2,0.3,0.1,-0.000151963529197024,-0.000961257821918998,6
"201","RPW",526,0.1,0.2,0.3,0.2,-0.00019577954358059,-0.000185642558724358,6
"202","RPW",526,0.1,0.2,0.3,0.3,-0.000275936503680033,-7.24656550387393e-05,6
"203","RPW",526,0.1,0.2,0.3,0.4,-0.000344329657086098,-0.000121360310426755,6
"204","RPW",526,0.1,0.2,0.3,0.5,-0.000620231719794598,-0.000286165078426603,6
"205","RPW",526,0.1,0.2,0.4,0,-0.000324373550146154,-0.000163154217426659,6
"206","RPW",526,0.1,0.2,0.4,0.1,-0.000699767229541501,-9.66033984292625e-05,6
"207","RPW",526,0.1,0.2,0.4,0.2,-6.84112252777314e-05,-0.000663352149241986,6
"208","RPW",526,0.1,0.2,0.4,0.3,-0.000220546658130594,-0.000353208077136236,6
"209","RPW",526,0.1,0.2,0.4,0.4,-0.000646565211901748,-0.000949615354125466,6
"210","RPW",526,0.1,0.2,0.4,0.5,-0.000238050974223497,-0.000764039070019512,6
"211","RPW",526,0.1,0.2,0.5,0,-0.000315941670873968,-0.000724728063871194,6
"212","RPW",526,0.1,0.2,0.5,0.1,-0.000231629875197856,-0.000746882614244632,6
"213","RPW",526,0.1,0.2,0.5,0.2,-0.000321917764288804,-0.000923871468874904,6
"214","RPW",526,0.1,0.2,0.5,0.3,-0.000471017216126038,-0.000838381928955051,6
"215","RPW",526,0.1,0.2,0.5,0.4,4.71343409123998e-05,-0.00134944093349409,6
"216","RPW",526,0.1,0.2,0.5,0.5,-0.000332963830739386,-0.00122049954492412,6
"217","RPW",162,0.1,0.3,0,0,-0.00048688764435588,-0.000341167221431515,7
"218","RPW",162,0.1,0.3,0,0.1,-0.00107185023782733,-0.00179496585685884,7
"219","RPW",162,0.1,0.3,0,0.2,-0.000904913418664249,-0.00194656337654731,7
"220","RPW",162,0.1,0.3,0,0.3,-0.00117165722572786,-0.00123050395346913,7
"221","RPW",162,0.1,0.3,0,0.4,-0.00109670548902212,-0.00272376441521816,7
"222","RPW",162,0.1,0.3,0,0.5,-0.00104979598684696,-0.00116710128747199,7
"223","RPW",162,0.1,0.3,0.1,0,-0.00072408966071455,-0.00178411636737069,7
"224","RPW",162,0.1,0.3,0.1,0.1,-0.000764886727204261,-0.000994200024771796,7
"225","RPW",162,0.1,0.3,0.1,0.2,-0.00071885697833661,-0.00119558280171844,7
"226","RPW",162,0.1,0.3,0.1,0.3,-0.000899964989023394,-0.00209072784784609,7
"227","RPW",162,0.1,0.3,0.1,0.4,-0.000884435053340765,-0.00235751724516525,7
"228","RPW",162,0.1,0.3,0.1,0.5,-0.00152955850916787,-0.00101531921815001,7
"229","RPW",162,0.1,0.3,0.2,0,-0.00149541221224839,-0.00193610423319246,7
"230","RPW",162,0.1,0.3,0.2,0.1,-0.000395754764462602,-0.00186600765129619,7
"231","RPW",162,0.1,0.3,0.2,0.2,-0.00103085993197434,-0.00190642336149976,7
"232","RPW",162,0.1,0.3,0.2,0.3,-0.000320686645030432,-0.00140282730363261,7
"233","RPW",162,0.1,0.3,0.2,0.4,-0.000270093807056476,-0.00252424546528102,7
